2024-03-07 18:56:14,741 Using selector: EpollSelector
2024-03-07 18:56:16,144 [0] PING
2024-03-07 18:56:16,144 [0] PONG
2024-03-07 18:56:17,563 [0] PING
2024-03-07 18:56:17,563 [1] PONG
2024-03-07 18:56:18,126 [1] PING
2024-03-07 18:56:18,126 [2] PONG
2024-03-07 18:56:18,273 [1] PING
2024-03-07 18:56:18,273 [3] PONG
2024-03-07 18:56:19,137 [2] PING
2024-03-07 18:56:19,137 [4] PONG
2024-03-07 18:56:19,698 [2] PING
2024-03-07 18:56:19,698 [5] PONG
2024-03-07 18:56:21,022 [3] PING
2024-03-07 18:56:21,022 [8] PONG
2024-03-07 18:56:22,546 [3] PING
2024-03-07 18:56:22,546 [9] PONG
2024-03-07 18:56:23,910 [4] PING
2024-03-07 18:56:23,910 [10] PONG
2024-03-07 18:56:24,097 [4] PING
2024-03-07 18:56:24,097 [11] PONG
2024-03-07 18:56:24,374 [5] PING
2024-03-07 18:56:24,374 [12] PONG
2024-03-07 18:56:25,998 [6] PING
2024-03-07 18:56:25,998 [15] PONG
2024-03-07 18:56:26,862 [5] PING
2024-03-07 18:56:26,863 [16] PONG
2024-03-07 18:56:27,987 [7] PING
2024-03-07 18:56:27,987 [17] PONG
2024-03-07 18:56:28,598 [6] PING
2024-03-07 18:56:28,598 [18] PONG
2024-03-07 18:56:29,262 [8] PING
2024-03-07 18:56:29,262 [19] PONG
2024-03-07 18:56:30,683 [7] PING
2024-03-07 18:56:30,683 [22] PONG
2024-03-07 18:56:31,854 [8] PING
2024-03-07 18:56:31,854 [23] PONG
2024-03-07 18:56:32,067 [9] PING
2024-03-07 18:56:32,067 [24] PONG
2024-03-07 18:56:33,081 [10] PING
2024-03-07 18:56:33,081 [25] PONG
2024-03-07 18:56:34,186 [11] PING
2024-03-07 18:56:34,186 [26] PONG
2024-03-07 18:56:34,397 [9] PING
2024-03-07 18:56:34,397 [27] PONG
2024-03-07 18:56:37,034 [12] PING
2024-03-07 18:56:37,034 [30] PONG
2024-03-07 18:56:37,369 [10] PING
